_group_by,backbone,count,median,mean,std,features,meta_encoder,model
backbone,resnet18,6,2.163399538918147,2.228012566087107,0.16327472138597837,,,
backbone,smallcnn,6,2.3076081336490692,2.350677687276608,0.09308153926475857,,,
features,,6,2.291333101666163,2.2893451266818574,0.1489141476983072,image+mean+meta,,
features,,6,2.291333101666163,2.2893451266818574,0.1489141476983072,image+meta,,
meta_encoder,,12,2.291333101666163,2.2893451266818574,0.14198406883972853,,flair,
model,,4,2.197084148724874,2.197084148724874,0.12762210489578854,,,film
model,,4,2.3163831987078227,2.3163831987078227,0.17665031432236672,,,late
model,,4,2.3545680326128764,2.3545680326128764,0.09181019700134603,,,xattn
backbone+features,resnet18,3,2.163399538918147,2.228012566087107,0.18254668801319315,image+mean+meta,,
backbone+features,resnet18,3,2.163399538918147,2.228012566087107,0.18254668801319315,image+meta,,
backbone+features,smallcnn,3,2.3076081336490692,2.350677687276608,0.10406832462315792,image+mean+meta,,
backbone+features,smallcnn,3,2.3076081336490692,2.350677687276608,0.10406832462315792,image+meta,,
backbone+meta_encoder,resnet18,6,2.163399538918147,2.228012566087107,0.16327472138597837,,flair,
backbone+meta_encoder,smallcnn,6,2.3076081336490692,2.350677687276608,0.09308153926475857,,flair,
backbone+model,resnet18,2,2.0865601638006788,2.0865601638006788,0.0,,,film
backbone+model,resnet18,2,2.163399538918147,2.163399538918147,0.0,,,late
backbone+model,smallcnn,2,2.2750580696832565,2.2750580696832565,0.0,,,xattn
backbone+model,smallcnn,2,2.3076081336490692,2.3076081336490692,0.0,,,film
backbone+model,resnet18,2,2.434077995542496,2.434077995542496,0.0,,,xattn
backbone+model,smallcnn,2,2.4693668584974984,2.4693668584974984,0.0,,,late
features+meta_encoder,,6,2.291333101666163,2.2893451266818574,0.1489141476983072,image+mean+meta,flair,
features+meta_encoder,,6,2.291333101666163,2.2893451266818574,0.1489141476983072,image+meta,flair,
features+model,,2,2.197084148724874,2.197084148724874,0.1563045184473164,image+mean+meta,,film
features+model,,2,2.197084148724874,2.197084148724874,0.1563045184473164,image+meta,,film
features+model,,2,2.3163831987078227,2.3163831987078227,0.21635156649603082,image+mean+meta,,late
features+model,,2,2.3163831987078227,2.3163831987078227,0.21635156649603082,image+meta,,late
features+model,,2,2.3545680326128764,2.3545680326128764,0.11244406791884998,image+mean+meta,,xattn
features+model,,2,2.3545680326128764,2.3545680326128764,0.11244406791884998,image+meta,,xattn
meta_encoder+model,,4,2.197084148724874,2.197084148724874,0.12762210489578854,,flair,film
meta_encoder+model,,4,2.3163831987078227,2.3163831987078227,0.17665031432236672,,flair,late
meta_encoder+model,,4,2.3545680326128764,2.3545680326128764,0.09181019700134603,,flair,xattn
