bin_left,bin_right,count
-1.3694471090070663,-1.2325023981063596,2
-1.2325023981063596,-1.0955576872056532,0
-1.0955576872056532,-0.9586129763049465,2
-0.9586129763049465,-0.8216682654042398,2
-0.8216682654042398,-0.6847235545035331,0
-0.6847235545035331,-0.5477788436028265,2
-0.5477788436028265,-0.4108341327021199,2
-0.4108341327021199,-0.2738894218014132,2
-0.2738894218014132,-0.13694471090070648,0
-0.13694471090070648,2.220446049250313e-16,0
2.220446049250313e-16,0.1369447109007067,0
0.1369447109007067,0.2738894218014134,0
0.2738894218014134,0.4108341327021201,0
0.4108341327021201,0.5477788436028266,0
0.5477788436028266,0.6847235545035335,0
0.6847235545035335,0.82166826540424,0
0.82166826540424,0.9586129763049465,0
0.9586129763049465,1.0955576872056534,0
1.0955576872056534,1.2325023981063599,0
1.2325023981063599,1.3694471090070663,0
