_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs
model,xattn,7,2.9529067044970634,4.398063500318599,3.0758516411852868,,,
backbone,,7,2.9529067044970634,4.398063500318599,3.0758516411852868,resnet18,,
features,,7,2.9529067044970634,4.398063500318599,3.0758516411852868,,image+mean+meta,
mse_weight_epochs,,4,2.6785499662014063,4.2705396176822825,3.39679660056922,,,50.0
mse_weight_epochs,,3,2.9529067044970634,4.568095343833687,3.316528051183913,,,10.0
model+backbone,xattn,7,2.9529067044970634,4.398063500318599,3.0758516411852868,resnet18,,
model+features,xattn,7,2.9529067044970634,4.398063500318599,3.0758516411852868,,image+mean+meta,
model+mse_weight_epochs,xattn,4,2.6785499662014063,4.2705396176822825,3.39679660056922,,,50.0
model+mse_weight_epochs,xattn,3,2.9529067044970634,4.568095343833687,3.316528051183913,,,10.0
backbone+features,,7,2.9529067044970634,4.398063500318599,3.0758516411852868,resnet18,image+mean+meta,
backbone+mse_weight_epochs,,4,2.6785499662014063,4.2705396176822825,3.39679660056922,resnet18,,50.0
backbone+mse_weight_epochs,,3,2.9529067044970634,4.568095343833687,3.316528051183913,resnet18,,10.0
features+mse_weight_epochs,,4,2.6785499662014063,4.2705396176822825,3.39679660056922,,image+mean+meta,50.0
features+mse_weight_epochs,,3,2.9529067044970634,4.568095343833687,3.316528051183913,,image+mean+meta,10.0
